Подарочный набор азиатских сладостей,730 ₽,32 отзыва,"10 мая доставит Ozon, продавец Erfolg",https://www.ozon.ru/product/podarochnyy-nabor-aziatskih-sladostey-479909243/?advert=ER19uJT9PQPhM-oUZxayyQ7lkT1TViam1Qjiz9fXGTxuUKZHF8X_TG2K3bECJB43HjJ_UJR_3EfKIyfhBGBQIJR3ANphSWb1UYuOYKvsekjGCJShAZoH1Xpy9sMsWe1YbRIcNI6UBGvIxp4pWguyx3VdvVwCZYGim14YGw8GbyHJcKKBg3EBfFGSjpXB4LLmGky3yalnSdNsdb2Y-dDncCD8uTQ51sulnT0W2D3AsZBS9l7Qc1bSIoa7fmmjHRHJ8bCdSnligoce_u-KAmFiItdP6PXZUmzn68cWKmWdOlN7yR2ugp1CEz0gTzjnAN_TH_CXbMiJUFkipSGA51-2M-OZBoaPl_O3goLjbqTCtznN8qq5po8a59uGmrVkuPxx0BbiJG_YkcBEWPoDXz0IVCX__vcT8_u1cqlWxfMdvqTPrF-jIXKsCMbokPWjcpSNWzpxlg2kwRErKLUb-6XLK8Agnng6GUOMEr59lyw0FUfk-spyIX6TrCu4pm4OyN_7rKundb9PZHYcTBgpxE0PZm94_civheGjVwWDGb2kDnsX3n7KOPf6_tpanIBqoKnQ
Шоколадный Букет из шоколада 15 шоколадных роз цвета чайная роза,950 ₽,105 отзывов,"8 мая доставит Ozon, продавец Spasibo Box",https://www.ozon.ru/product/shokoladnyy-buket-iz-shokolada-15-shokoladnyh-roz-tsveta-chaynaya-roza-303641468/?asb=MXlISaB19L%252Fk6O7SixU%252BiP%252FcSbBJFD%252FTWchnzMIiDL0%253D&asb2=X9pQIpho00c4OuLDiZoB1hDsO0G6yiqnF9r7TCyW1WRNmYJLuXPF6Hi-6KX1WewB
Сюрприз-бокс кондитерский,665 ₽,4 отзыва,"17 мая доставит Ozon, продавец LAVRA",https://www.ozon.ru/product/syurpriz-boks-konditerskiy-523477751/?asb=Ro4oriGOQVw15lSP84PHAMQ5Ub%252F%252B%252BSIxn1jS%252Fxh81QMDVQKhutrM77ISobOTS56I&asb2=0xAPrYHcqbPdj5NWPImFm7EaVgXRzeuiWzmMhDSdccBrgZCs-b2dxoVRvC_mX9EuHG6f1e6h7V5sEfNt6pXlFw3SGunU3NBn-vBEgo1dBbwzUmj3vXvLjotKw1um-9_KPdYDHsWk4Vt06Kwqn9rlsA
"Фигурка шоколадная Зайка ушастая, белая с золотом 4,4 х 5 х 7",442 ₽,20 отзывов,"9 мая доставит Ozon, продавец Baker Store",https://www.ozon.ru/product/figurka-shokoladnaya-zayka-ushastaya-belaya-s-zolotom-4-4-h-5-h-7-306614891/?asb=bV60eS5l6XlKJdw39mHzYdI%252FOs9lWwRtUjSMa3ZtDyw%253D&asb2=TKdr3X-qy-1-I-yNUFTfcM1ByLmnc3p4e6BOIs21KGAEe90y2Qwck-rgzfpF2USk
"Подарочный набор для учителя, для бабушки, дедушки, мамы, на день рождения",549 ₽,3 отзыва,"8 мая доставит Ozon, продавец Lomonosov",https://www.ozon.ru/product/podarochnyy-nabor-dlya-uchitelya-dlya-babushki-dedushki-mamy-na-den-rozhdeniya-490962728/?asb=0LsDTqAppXVQGmKUZlxqyfby7d2BYuDxn%252BdgGxahU%252Bc%253D&asb2=R7RPjBz-_KfkKdG7eRx3TA0CuWckQjpzSUgmwVoGBM190qsU2dhCZeEfciZF7I-_
Новогодний подарок Акконд 1,525 ₽,55 отзывов,"11 мая доставит Ozon, продавец STENOVID",https://www.ozon.ru/product/novogodniy-podarok-akkond-1-364080664/?asb=pX9qcBPkmG9hZ6%252BygCDEjwiuRwl4144g2Gx0HZjSaqc%253D&asb2=7arlaJY5iP8TYLSevD8bgrFVzsmcqteOC_Xz-y1hoq3speqgzl32RugXDw0zrEDQ
"Подарочный бокс со сладостями ""Подари свою любовь"" 500 г. (шоколадный набор, на выпускной в детский сад, в школу, для учителя, воспитателю, ребенку, киндер сюрприз)",919 ₽,5 отзывов,"10 мая доставит Ozon, продавец Счастливчик",https://www.ozon.ru/product/podarochnyy-boks-so-sladostyami-podari-svoyu-lyubov-500-g-shokoladnyy-nabor-na-vypusknoy-v-507745036/?asb=Gxyat60ArspmA2ZeaQzMy6J%252Bm%252B4Q9oZt%252FkTXHl4v7sA%253D&asb2=_Nc2RBVqHL8ach6_grvZowR63yV9X3rx__IWcbeK4JbRCXaPVLcRqlXPbGce8Y9m
"Подарочный набор ""Комплекс витаминов"". Фруктовая пастила и сушеные фрукты без сахара. Здоровое питание",788 ₽,6 отзывов,"8 мая доставит Ozon, продавец Nature with love",https://www.ozon.ru/product/podarochnyy-nabor-kompleks-vitaminov-fruktovaya-pastila-i-sushenye-frukty-bez-sahara-340079644/?asb=8okjqMDEOkpLRaAFejTF1cGohBdJf4nnv92VsFSpZuwMi2mjO9gJvJQdTO2zKdRL&asb2=iMcS42sSaWem-22wu5lkCh5eFLrLLe-VjLPjvL5v-80-77UlWOg0NZRJ1rmIqU5LMI9gwdT0mphUGUEcSP93JHP7pt-Adv1Kth0o2vJV57A12jXRwpBRME2dwWCN0xtODfhPtErze65RUMxNrfMwGg
Букет 7 шоколадных роз,535 ₽,40 отзывов,"12 мая доставит Ozon, продавец Choco Life",https://www.ozon.ru/product/buket-7-shokoladnyh-roz-253675739/?asb=%252BQm5qB3a%252F70633pP4JRe5bJPFwIZBaGZZwfLcO6qdCSjT7gnVJj%252Bt5igtOelJN5E&asb2=ykWomOqm8n9WWqDr1FsjAXuJkUzoY9RutXSC7xmMxKwXxWRtvyDB6_5MgZnwYAjb4OaMbAJAXVgoGYWfnQlGEQAi4yWPGfDvkRM-sd6ikM2f7M_Bhk6wMigXsjjQBtPKKhyFjJroAI2KKdnODIknUg
"Подарочный набор ""Любимой маме"" S, Русский лес, 750 г., джем, облепиха, черника, брусника, подставка",780 ₽,11 отзывов,"9 мая доставит Ozon, продавец АНТОЧИР",https://www.ozon.ru/product/podarochnyy-nabor-lyubimoy-mame-s-russkiy-les-750-g-dzhem-oblepiha-chernika-brusnika-podstavka-398833147/?asb=E%252B%252FjEvgdLXlA6bxK0VWk3GUcjpP2IRCXkjcazNhmCoU%253D&asb2=7eKWH1L0zgQuASU3M09VSIhnMnuOwCy5AvLjPnqPTT0hJoK0QZ9ViVCN4iHWxEUB
ПРЕМИУМ! Новогодний сладкий подарок: набор Леденцы натуральные ручной работы на палочке Дедушка Мороз и Зимняя варежка,161 ₽,6 отзывов,"Завтра доставит Ozon, продавец СНЕЖНЫЙ АНГЕЛ",https://www.ozon.ru/product/premium-novogodniy-sladkiy-podarok-nabor-ledentsy-naturalnye-ruchnoy-raboty-na-palochke-dedushka-414076407/?asb=nRx3EdYDwYAac3nOxsbuHew0D7sB4UNfrtqUkNOGouidH%252B3rxed4FZHnLzT3O3v8&asb2=b9fSPwX9T1kYNr7T_8BM9QuAHVKFTe0PwnUH0lR9H6Tbk8ALKUeFu13tND_mgYHDWLqx3_VU43YXVWwPo9uTz74bGnAOL2mGZH70VQsrB7W6Vr3XqeTaGxKT__uNkWm4MKbZ6sESzlxsi3iv_8xiOA
"Сладкий подарок сладкий подарочный набор ,шоколадный набор подарок на 8 марта маме, подарок на 14 февраля подарок на день влюбленных,",950 ₽,1 отзыв,"11 мая доставит Ozon, продавец ИП Корчевой Петр Иванович",https://www.ozon.ru/product/sladkiy-podarok-sladkiy-podarochnyy-nabor-shokoladnyy-nabor-podarok-na-8-marta-mame-podarok-na-492930630/?asb=Ii9fMGhV21B9I3IWntBLauZqlLimn92J0shds13OVFH3AJ4%252BU70oBL5azDbl89gS&asb2=ZPSF83Hf_ZnyGyKSK193VxTzuqfYksXi6oYSNPFPoKTaLlRKDbbY_5gJD-Bq-Xaxaxiisq6DLNu3SrxkK4N2GsPvSiHQLc-_a_aWlgZRtCgjRmS8H59SYSIR4DDUBMKDpPQoHb_oT_aeJS8bAm1PrQ
"Шоколад темный Глобус Про ""Весна - Цветы букеты 8 марта"" подарочный порционный, 60г, (2шт-120г)",356 ₽,20 отзывов,"8 мая доставит Ozon, продавец Шоколадная фабрика Глобус Про",https://www.ozon.ru/product/shokolad-temnyy-globus-pro-vesna-tsvety-bukety-8-marta-podarochnyy-portsionnyy-60g-2sht-120g-235157841/?asb=QjGJBoNjZPz9stLlJFND0Q0vLq6TmiSjfjn%252B3aiw%252FbY%253D&asb2=Rj_Tv-ufxyGjCWWS1d_euH1Pn-B_xsnB2duaOnUebPL-TI667EEmRlDUcKW0hrWg
"Подарочный набор для учителя, на выпускной, бабушки, дедушки, день рождения, коллеге",619 ₽,1 отзыв,"8 мая доставит Ozon, продавец Lomonosov",https://www.ozon.ru/product/podarochnyy-nabor-dlya-uchitelya-na-vypusknoy-babushki-dedushki-den-rozhdeniya-kollege-490962988/?asb=86UOqXHq3yI%252B%252Bg4rjEhH%252BG5zxK9KdwTPmjuOg20So8k%253D&asb2=bUQbwlJlFspHoB9CkIzow0tA8Oq3KUtynLXnvXVAeXz2FqwndwG1bb98-lqq0gkK
"Подарочный набор из 27 сладостей ""Подари радость"" 400 г. (на выпускной в детский сад, в школу, для учителя, воспитателю, подарок на день рождения, сладкий бокс сюрприз, азиатские, импортные сладости)",784 ₽,5 отзывов,"10 мая доставит Ozon, продавец Счастливчик",https://www.ozon.ru/product/podarochnyy-nabor-iz-27-sladostey-podari-radost-400-g-na-vypusknoy-v-detskiy-sad-v-shkolu-dlya-507840026/?asb=8his2mhtfCmGdU4dJjn3Us%252FbHuGBnhVCG3W7YMlk1d8%253D&asb2=tcObM6uGyAh-BheguPj946pJE8nq4OxBsucdXuqtJw1lXAD2qj5nFkGeKmL8eKOF
Фигурка шоколадная Слон с подарком 6 х 10 х 11 см,634 ₽,20 отзывов,"9 мая доставит Ozon, продавец Baker Store",https://www.ozon.ru/product/figurka-shokoladnaya-slon-s-podarkom-6-h-10-h-11-sm-306616586/?asb=03oPVfyE%252FU2aJKDxYVytoh%252FdPqcJuGmnsr02fP7%252B%252Fmk%253D&asb2=Uk3R7iEUiMLNWtHG-ZRw0mBwNIF8oeLORy7xLwV3eGfrjhxl53VUurhMk51AiInQ
"Подарок воспитателю, нянечке и сотрудникам детского сада с чаем, пряником и конфетами Dyetshop",783 ₽,2 отзыва,"9 мая доставит Ozon, продавец Dyetshop.ru",https://www.ozon.ru/product/podarok-vospitatelyu-nyanechke-i-sotrudnikam-detskogo-sada-s-chaem-pryanikom-i-konfetami-dyetshop-494937413/?asb=Z9%252F%252BJPwgC%252FAGohrvByPInchv3Eh8AsEOYbP6gKo3V5C1TrfsGEiic21kcuP%252F0Nvi&asb2=VSpavPomtCTB5j0ihBN_vRXMZ3-ZATogW1IPpA8P2BceDSIRLPrF6NIL8TMcKhBs0ugbwROlvegoSuQqnsvg0lkbujfhoXu3PzJ_9Ox51Rp1QFWA_isD3k0GIdyIkLKicQwYQ_FuL_DWiYeah7Dw8g
Подарочный набор,951 ₽,1 отзыв,"13 мая доставит Ozon, продавец ТОП-100",https://www.ozon.ru/product/podarochnyy-nabor-489414606/?asb=OlApuESmfFJKfKS8u7zbmz0wnmC9u0IASHXwrAcgjY4%253D&asb2=81OU67rcLs3DhqWMCEXe2pBXmUScimkGUPo26b73aHVKFFWqfX-iNtlGHIezgxdB
Подарочный набор для женщин,570 ₽,8 отзывов,"13 мая доставит Ozon, продавец ТОП-100",https://www.ozon.ru/product/podarochnyy-nabor-dlya-zhenshchin-489417025/?asb=dPceQJfmxpzfJbu6qBY7wEPP3bm1cIU1yhsAaP6r4mg%253D&asb2=tBTvJ0yHY73UA-HDHhs6O9O65TXm-UVtlU0DmvrDZI2Rf5r3uZhz4ZqLbGWC3MTg
Фигурка шоколадная Цифра 4,218 ₽,20 отзывов,"9 мая доставит Ozon, продавец Baker Store",https://www.ozon.ru/product/figurka-shokoladnaya-tsifra-4-306616377/?asb=ftv1qPCTuvoZihjKet3cEnRz6fOmcHeOqvpCvxmMIHE%253D&asb2=_v4g7prlgpzr9UYThv8XXg6MG7Zn73B-NSYu8e_0e16-r2t-kwln1dhtZv9kTmww
Подарочный набор на 8 марта/ полезный подарок на 8 марта/ подарок на 8 марта для коллег / корпоративные наборы на 8 марта,950 ₽,2 отзыва,"9 мая доставит Ozon, продавец Eco_Nuts_Box",https://www.ozon.ru/product/podarochnyy-nabor-na-8-marta-poleznyy-podarok-na-8-marta-podarok-na-8-marta-dlya-502918029/?asb=WLacGtsyseQhgB45Dk56%252F%252FtAo80q6G1JFBuKBEoKMZ8%253D&asb2=IzYNa6LOvLtsDJwr731iTVOR_xQHPfYvEKGtTGZpPn5o0LPzGROmjbXFoEwwlaAM
Букет из мармелада Гармония,950 ₽,2 отзыва,"8 мая доставит Ozon, продавец ТМ Остров Сладостей",https://www.ozon.ru/product/buket-iz-marmelada-garmoniya-510092576/?asb=4SVn5GN5NzsqASCVNzk5vpRrM4eIac2qWoU94pmk1%252BA%253D&asb2=yqPA_8m1VBb3PtM4T78ylv1hSZjj3kUVQXmctTjYkgluYMANj2H0qs5WAm8gm4nH
Фигурка шоколадная Роза букет розовая 4 х 6 х 4 см,382 ₽,20 отзывов,"9 мая доставит Ozon, продавец Baker Store",https://www.ozon.ru/product/figurka-shokoladnaya-roza-buket-rozovaya-4-h-6-h-4-sm-306614889/?asb=D6vyJh99qFw5hSaq14oeBoCMEtBDwqxk4DuP99%252B7cL4%253D&asb2=HloQ3tjiUhUlzw_vmVf5pQBDfhwYCSWLsSPl8Tu6YBNJyybWDyiSoBXKLTTIed6r
"ПРЕМИУМ! Новогодний сладкий подарок: набор Леденцы натуральные ручной работы на палочке Тигренок - символ года, Елочка - красавица и 4D - Живая новогодняя открытка в дополненной реальности ""Дед Мороз"" (с AR)",280 ₽,3 отзыва,"Завтра доставит Ozon, продавец СНЕЖНЫЙ АНГЕЛ",https://www.ozon.ru/product/premium-novogodniy-sladkiy-podarok-nabor-ledentsy-naturalnye-ruchnoy-raboty-na-palochke-tigrenok-414066242/?asb=Bi12ioCgvJt0MuCOZU7NSfweInhGCZPgkmn0x8eT%252FvOPFh%252BM9rKjw1nB1n0BxB5T&asb2=Y8ylRqwwzSXZxj0d9J5EPytg-KShrQOO_JE-rIasELXxX3UBzyu4Y-OwTLvy__r89Q-ECU2o-wKor3Y1rrLCng7uOloTOqdP09wS33JufBwIhxrodS6GgwOXdJG9FXMTwrI5odXqPaS9Slu30M_LZw
"Подарочный набор продуктов на день рождения, подарок воспитателю, учителю/ Здоровая еда / Полезные сладости на перекус. Диетический набор для похудения",891 ₽,5 отзывов,"8 мая доставит Ozon, продавец Luck on sale",https://www.ozon.ru/product/podarochnyy-nabor-produktov-na-den-rozhdeniya-podarok-vospitatelyu-uchitelyu-zdorovaya-eda-406376673/?asb=EabVs7Hh6w2kDDDPSniS52v1aRqE8eQC6bJWWlIOlHA%253D&asb2=gMRV06ytzkAtT_w0Po6WAo9WqgSUnAkuU0o_XKIWYmtG3Ct5ydKEPhEmMwDMEd-O
"Фигурка шоколадная Медвежонок и месяц, белый с золотом 2,8 х 5 х 8 см",394 ₽,20 отзывов,"9 мая доставит Ozon, продавец Baker Store",https://www.ozon.ru/product/figurka-shokoladnaya-medvezhonok-i-mesyats-belyy-s-zolotom-2-8-h-5-h-8-sm-306614885/?asb=osTqWNOaecXOaw2WHrAXXJ7afMTMpNz2O7O%252FSgW2Hwc%253D&asb2=Rr09FWN2NrOhs_nLRGPi30KrLWjWLMQUJ9pRFsK10CTlqrKZcSoiWw8xJk89b9kT
"Фигурка шоколадная Орхидея, белая 7,5 х 9 х 2 см",382 ₽,20 отзывов,"9 мая доставит Ozon, продавец Baker Store",https://www.ozon.ru/product/figurka-shokoladnaya-orhideya-belaya-7-5-h-9-h-2-sm-306616317/?asb=uoArMMLXQ4aHb1J8cadqLVBXE3SJJizv6dkip1saYzE%253D&asb2=bc5HD44Ka6LQOVo8kSAhsWZ7o5QpQxnprvS6gPlxUzQJhhfDNiNjL88wdrCqmw_8
Фигурка шоколадная Цифра 0,156 ₽,20 отзывов,"9 мая доставит Ozon, продавец Baker Store",https://www.ozon.ru/product/figurka-shokoladnaya-tsifra-0-306617192/?asb=s60Q3z25umZbXvQocddb5zb5mjTg8%252BtWtWpeR3Ke5ck%253D&asb2=E-i6siV5VPxAZWhtSM3apGWgtVJiCjan37K7WXoXC8xZvujYAeyBYJJL-zBfNPar
"Фигурка шоколадная Медвежонок с сердцем, белый с золотом 5,7 х 6,3 х 7,5 см",622 ₽,20 отзывов,"9 мая доставит Ozon, продавец Baker Store",https://www.ozon.ru/product/figurka-shokoladnaya-medvezhonok-s-serdtsem-belyy-s-zolotom-5-7-h-6-3-h-7-5-sm-306616572/?asb=h6ZeSRD%252FjemBnISq2EHFOvsimG2TXmUt84eF19xxe%252Bk%253D&asb2=ymJ1Y9zj4Fe9Kjsub1zjtQvJY55Nerk3_F1sluuCbwB2KYVRy0Uhga-JGDPrQMd2
Подарочный набор Новогодний с орешками и елочкой 23 х 15 см,990 ₽,28 отзывов,"9 мая доставит Ozon, продавец Eco_Nuts_Box",https://www.ozon.ru/product/podarochnyy-nabor-novogodniy-s-oreshkami-i-elochkoy-23-h-15-sm-404981075/?asb=xnT6G9lDZH3dPc71UlVSlQH6b2tdafUfo1vYwZvTy0k%253D&asb2=lj8VRu4TL8ED6IbKq71njOVQCly1ixjidz8x9-eao1AUFuWJwJd22iTcn3wKPt22
Фигурка шоколадная Цифра 3,156 ₽,20 отзывов,"9 мая доставит Ozon, продавец Baker Store",https://www.ozon.ru/product/figurka-shokoladnaya-tsifra-3-306614915/?asb=DgsRgvY7iMdQkQNT7S2moz%252FbfzqtnOU0L4%252Bn3LfUnLk%253D&asb2=xIqHYDU0__UJi-VTojbcqvxaNylEAiu3u0rHnjPmSxQWfsAZDEznJojV9Owz8l68
Подарочный набор Новогодний с пряником 20 х 12 см,950 ₽,28 отзывов,"9 мая доставит Ozon, продавец Eco_Nuts_Box",https://www.ozon.ru/product/podarochnyy-nabor-novogodniy-s-pryanikom-20-h-12-sm-404981005/?asb=cq4hx%252FU%252FbHRH7MgEc4kJKPS9RbNW8WLlXsd05vphck8%253D&asb2=SP0nzkvfNOitY5vkFrZO8AEemo90s6evhOV4Q4Ygb5hIiSTqDZ6WUMRspaTetbtW
Фигурка шоколадная Экскаватор 7 х 9 х 11 см,814 ₽,20 отзывов,"9 мая доставит Ozon, продавец Baker Store",https://www.ozon.ru/product/figurka-shokoladnaya-ekskavator-7-h-9-h-11-sm-306614926/?asb=KBZWE56bHdk9U2NDukxJrKyzS2p1Jexjvw2KpxTddiI%253D&asb2=7VX8oPX5IfT5l_fpSPISv25wv9h2JeaBTxz6ALBcuLpEYs0CABgn7qiLdz4sWiA5
"Подарок мужчине на 23 февраля с чаем, пряником и подставкой под горячее ""Рядовой""",939 ₽,1 отзыв,"9 мая доставит Ozon, продавец Dyetshop.ru",https://www.ozon.ru/product/podarok-muzhchine-na-23-fevralya-s-chaem-pryanikom-i-podstavkoy-pod-goryachee-ryadovoy-484924427/?asb=Kf194fgOmVmMpwt0sbIREFNht3yiIeNuTI8%252BAAf6rCcn1lDfz%252Bm2kqO7iPbh4nas&asb2=8RL7peBmRJ_iF7k9fC8AvgwFyAE03e0eNzquB13au_E4KOjPBULtt-tSH1IPULvtAjPpQHLPcmYsHalrFOyWrgqaSKL80sJ4JKc9JgsjiipMdg4qardvayWZGHtNaqf7UozAmOnXfVXCpiUQhLWg-A
"Шоколад молочный ""Подарин"", 27 г.",360 ₽,2 отзыва,"11 мая доставит Ozon, продавец Magic Store",https://www.ozon.ru/product/shokolad-molochnyy-podarin-27-g-441576369/?asb=Ga9S9dkyZtRVOtiuQxj4i7F%252B1nACJ0%252Fp5sioOsrXpqs%253D&asb2=tXde4e-LsGuG-LIKaAFVfTAWuSFz-RvsP7XDa6hDsPI_66bRqG7c07Bf_pjkrJmx6YZOY0eAEKxBs7fVTr2q_Q
